ins,min,max
20.0,19.6,20.2
19.5,19.4,20.0
20.0,19.4,20.1
19.5,19.4,20.2
19.5,19.3,19.8
18.9,18.7,19.6
19.1,18.8,19.1
19.4,19.1,19.6
19.2,19.2,19.8
19.3,19.0,19.4
19.6,19.2,19.6
20.5,19.6,20.5
22.4,20.5,22.6
24.0,22.4,24.4
22.8,22.8,25.2
21.6,21.5,23.9
24.6,21.6,24.7
24.5,24.3,25.0
20.0,20.0,24.5
22.3,20.0,22.3
23.9,22.3,23.9
23.9,23.3,24.3
21.7,21.6,24.0
21.7,21.0,21.8
20.3,20.3,21.7
19.7,19.7,20.3
19.7,19.6,19.7
19.8,19.6,19.8
19.6,19.6,19.8
19.4,19.4,19.6
19.2,19.1,19.4
19.2,19.1,19.3
19.3,19.2,19.3
19.3,19.2,19.3
20.5,19.3,20.5
21.3,20.5,21.3
23.2,21.3,23.7
23.7,22.6,24.1
24.5,23.5,25.3
25.1,24.1,26.1
26.4,24.9,26.9
25.2,25.1,27.1
25.1,24.9,26.0
23.4,22.9,25.5
24.9,23.4,25.9
23.5,23.5,25.3
21.7,21.7,23.5
21.1,21.1,21.7
20.4,20.4,21.1
19.7,19.6,20.4
18.3,18.3,19.7
18.9,18.3,18.9
18.7,18.7,18.9
18.7,18.7,18.8
18.7,18.6,18.7
18.7,18.7,18.8
18.4,18.4,18.7
18.7,18.4,18.7
19.0,18.7,19.0
20.2,19.0,20.5
21.4,20.2,22.6
22.7,21.3,23.0
23.6,22.7,24.2
25.0,23.4,25.1
25.0,24.2,26.2
24.8,24.5,26.5
27.5,24.7,27.6
26.0,25.6,27.5
23.6,23.5,26.5
23.1,23.1,23.7
21.6,21.6,23.1
20.8,20.8,21.6
20.4,20.4,20.8
20.5,20.3,20.5
20.5,20.4,20.5
20.1,20.1,20.5
19.4,19.4,20.1
19.2,19.2,19.4
19.0,18.9,19.2
19.0,18.8,19.0
19.1,19.0,19.2
19.1,19.0,19.1
19.4,19.1,19.5
20.8,19.4,20.8
21.4,20.6,21.9
22.7,20.8,22.7
22.2,20.8,23.3
25.0,22.2,25.2
21.4,21.4,25.0
20.6,20.6,22.9
19.5,19.5,20.6
19.3,19.3,19.5
19.9,19.3,19.9
19.8,19.7,20.0
19.4,19.4,19.9
19.5,19.4,19.6
19.4,19.4,19.5
19.3,19.3,19.5
19.4,19.3,19.4
19.3,19.3,19.4
19.1,19.0,19.3
19.1,19.1,19.2
19.1,19.0,19.2
18.2,17.9,19.1
17.4,17.4,18.5
17.7,17.4,17.7
18.0,17.7,18.0
18.3,18.0,18.3
20.1,18.3,20.2
20.9,20.1,21.2
22.2,20.5,22.2
21.7,21.7,23.0
